"time","M","Y","Z","I"
0,468.9,0,0,340
1,487.71,0,0,340
2,510.939,3.50747,0,339
3,526.445,6.71718,0,336
4,539.501,9.66428,0,335
5,549.451,12.3552,0,334
6,553.005,14.7628,0,332
7,559.805,16.9386,0,330
8,570.424,18.9435,0,329
9,582.682,20.8061,0,328
10,600.014,22.5864,0,328
11,604.812,24.1744,0,325
12,610.931,25.6225,0,324
13,608.338,26.8647,1.10068,321
14,619.504,28.0239,2.10792,319
15,620.554,29.0552,3.03275,318
16,630.498,30.0169,3.8772,316
17,631.349,30.8701,4.63273,315
18,635.714,31.6363,5.31552,313
19,649.542,32.4092,5.94468,313
20,644.888,33.0584,6.52918,312
21,653.299,33.6668,7.08785,310
22,665.369,34.2868,7.58619,310
23,664.532,34.8488,8.04062,311
24,687.179,35.4808,8.43044,310
25,685.961,36.0252,8.7942,309
26,681.265,36.4432,9.11782,306
27,683.339,36.8168,9.41962,305
28,687.905,37.1791,9.68736,305
29,674.914,37.436,9.9278,306
30,680.323,37.6992,10.1703,306
31,677.991,37.9333,10.3741,307
32,683.992,38.1668,10.565,306
33,684.892,38.368,10.7596,305
34,676.703,38.4974,10.9359,305
35,666.633,38.5382,11.1343,304
36,668.37,38.5853,11.3051,304
37,660.033,38.5888,11.4363,305
38,655.229,38.5749,11.5535,306
39,643.706,38.5033,11.6672,307
40,647.736,38.452,11.7478,306
41,645.062,38.4018,11.8304,307
42,648.956,38.3936,11.9039,308
43,640.76,38.3597,11.9771,310
44,645.984,38.3869,12.0403,312
45,651.586,38.4717,12.0809,314
46,654.827,38.5932,12.0937,316
47,646.045,38.6333,12.1085,315
48,648.94,38.6627,12.1096,313
49,639.846,38.6436,12.1052,314
50,639.761,38.6383,12.0827,315
51,628.885,38.5401,12.0666,313
52,647.897,38.5852,12.0509,314
53,647.907,38.6628,12.0483,317
54,632.616,38.622,12.0377,316
55,635.955,38.5947,12.0462,315
56,644.359,38.5868,12.0728,312
57,645.623,38.5878,12.111,312
58,634.161,38.5283,12.1235,313
59,646.345,38.54,12.1328,312
60,644.71,38.5155,12.1268,310
61,654.939,38.5703,12.1251,311
62,657.845,38.6754,12.0943,314
63,662.261,38.7975,12.1084,314
64,677.935,38.9934,12.1328,313
65,674.041,39.118,12.12,311
66,667.837,39.1903,12.1114,311
67,660.453,39.2339,12.1089,313
68,651.108,39.2011,12.1092,312
69,662.497,39.2564,12.0906,313
70,661.948,39.3024,12.0943,313
71,657.853,39.3554,12.0866,316
72,650.568,39.4185,12.1038,321
73,659.311,39.5317,12.1368,321
74,662.68,39.6676,12.1751,322
75,667.512,39.8078,12.2365,321
76,666.461,39.939,12.2756,322
77,668.215,40.0422,12.2983,320
78,668.893,40.1389,12.312,320
79,692.904,40.4075,12.3017,322
80,691.113,40.6228,12.3191,321
81,698.502,40.8365,12.3335,319
82,697.052,41.0048,12.3502,318
83,694.847,41.1545,12.3699,319
84,698.262,41.2836,12.4055,317
85,689.636,41.3437,12.4481,317
86,689.072,41.3674,12.4921,315
87,695.765,41.4579,12.5333,317
88,686.488,41.4268,12.5657,313
89,686.24,41.3842,12.596,312
90,684.216,41.3333,12.6803,312
91,683.294,41.269,12.7479,311
92,677.065,41.198,12.8149,313
93,672.358,41.1949,12.8678,320
94,672.622,41.1937,12.9147,320
95,670.16,41.1511,12.9552,318
96,676.044,41.1509,12.9741,318
97,680.44,41.179,12.9815,318
98,673.596,41.1987,13.0099,321
99,676.436,41.2607,13.0002,323
100,669.093,41.2809,12.9868,324
101,661.583,41.3256,12.9708,330
102,667.425,41.4046,12.9506,330
103,652.882,41.3904,12.9284,331
104,655.094,41.3676,12.9274,329
105,664.285,41.4211,12.927,330
106,674.356,41.5492,12.9137,331
107,669.921,41.6852,12.9136,335
108,663.229,41.774,12.9224,336
109,661.706,41.8557,12.9286,337
110,654.035,41.8888,12.9481,338
111,653.432,41.9268,12.9544,339
112,671.789,42.1124,12.9684,341
113,679.31,42.3303,12.9932,341
114,677.079,42.5096,12.9888,341
115,676.871,42.6554,12.9816,340
116,675.784,42.7525,12.9984,338
117,684.705,42.9135,13.0386,339
118,679.235,43.0587,13.0813,342
119,692.311,43.2526,13.1091,340
120,681.58,43.339,13.1348,339
121,679.122,43.3864,13.1452,338
122,676.01,43.3558,13.1571,334
123,676.809,43.3339,13.2153,334
124,668.528,43.2583,13.2837,334
125,653.875,43.0419,13.34,330
126,647.888,42.796,13.3857,329
127,655.099,42.6117,13.4162,328
128,655.289,42.4483,13.4667,328
129,658.16,42.3463,13.5123,330
130,649.044,42.1695,13.5731,328
131,641.74,41.9996,13.6002,331
132,645.066,41.8823,13.6151,332
133,645.359,41.7917,13.6055,333
134,647.423,41.7493,13.5986,335
135,639.381,41.6813,13.5749,337
136,642.043,41.6386,13.507,337
137,648.039,41.6537,13.4298,338
138,641.735,41.5997,13.372,336
139,628.861,41.4637,13.3207,336
140,646.975,41.4902,13.2887,338
141,658.778,41.6197,13.2332,340
142,657.7,41.7407,13.1799,341
143,645.93,41.7675,13.1431,341
144,655.137,41.8801,13.1147,343
145,670.623,42.1139,13.1014,345
146,673.761,42.3319,13.08,344
147,668.485,42.5027,13.0666,345
148,670.036,42.6791,13.0714,346
149,660.633,42.7833,13.0544,347
150,654.869,42.836,13.0118,347
151,659.582,42.954,13.02,350
152,654.824,43.0257,13.0607,350
153,648.742,43.0837,13.0987,353
154,648.668,43.1597,13.1071,355
155,649.501,43.2212,13.1424,354
156,646.651,43.2434,13.2158,353
157,642.286,43.2199,13.2842,352
158,636.557,43.1338,13.3378,350
159,637.701,43.065,13.3931,350
160,633.331,42.9605,13.4259,349
161,630.298,42.8816,13.4424,352
